ToolName;ModelName;Strength;TimeSeconds;Size;ErrorType;;;;
kali;MCA_44;2;68.94;4055;;;;;
kali;MCA_45;2;2.02;9;;;;;
kali;MCA_46;2;13.29;1131;;;;;
kali;MCA_47;2;4.0;389;;;;;
kali;MCA_48;2;13.1;1395;;;;;
kali;MCA_49;2;12.05;1108;;;;;
kali;MCA_5;2;116.47;4148;;;;;
kali;MCA_6;2;92.52;4143;;;;;
kali;MCA_7;2;6.81;762;;;;;
kali;MCA_8;2;2.07;20;;;;;
kali;MCA_9;2;154.02;5112;;;;;
kali;NUMC_0;2;125.86;6849;;;;;
kali;NUMC_1;2;22.56;2299;;;;;
kali;NUMC_10;2;21.02;30;;;;;
kali;NUMC_11;2;3.03;2;;;;;
kali;NUMC_12;2;2.21;4;;;;;
kali;NUMC_13;2;2.02;3;;;;;
kali;NUMC_14;2;3.41;628;;;;;
kali;NUMC_15;2;1.99;0;Timeout;;;;
kali;NUMC_16;2;2.49;58;;;;;
kali;NUMC_17;2;301.0;0;Timeout;;;;
kali;NUMC_18;2;2.18;7;;;;;
kali;NUMC_19;2;301.0;0;Timeout;;;;
kali;NUMC_2;2;7.93;546;;;;;
kali;NUMC_20;2;134.63;8956;;;;;
kali;NUMC_21;2;2.05;0;Timeout;;;;
kali;NUMC_22;2;4.96;512;;;;;
kali;NUMC_23;2;12.77;1595;;;;;
kali;NUMC_24;2;112.11;16956;;;;;
kali;NUMC_25;2;175.95;4230;;;;;
kali;NUMC_26;2;2.35;0;Timeout;;;;
kali;NUMC_27;2;168.67;2064;;;;;
kali;NUMC_28;2;34.39;540;;;;;
kali;NUMC_29;2;301.0;0;Timeout;;;;
kali;NUMC_3;2;21.64;2174;;;;;
kali;NUMC_30;2;5.74;1272;;;;;
kali;NUMC_31;2;2.13;2;;;;;
kali;NUMC_32;2;2.35;2;;;;;
kali;NUMC_33;2;10.55;179;;;;;
kali;NUMC_34;2;2.17;5;;;;;
kali;NUMC_35;2;2.29;0;Timeout;;;;
kali;NUMC_36;2;301.0;0;Timeout;;;;
kali;NUMC_37;2;105.57;4172;;;;;
kali;NUMC_38;2;2.0;3;;;;;
kali;NUMC_39;2;2.25;0;Timeout;;;;
kali;NUMC_4;2;301.0;0;Timeout;;;;
kali;NUMC_40;2;2.67;0;Timeout;;;;
kali;NUMC_41;2;2.23;0;Timeout;;;;
kali;NUMC_42;2;300.32;0;Timeout;;;;
kali;NUMC_43;2;2.24;0;Timeout;;;;
kali;NUMC_44;2;3.64;46;;;;;
kali;NUMC_45;2;1.99;10;;;;;
kali;NUMC_46;2;1.99;2;;;;;
kali;NUMC_47;2;2.36;70;;;;;
kali;NUMC_48;2;2.1;0;Timeout;;;;
kali;NUMC_49;2;210.49;4592;;;;;
kali;NUMC_5;2;2.07;14;;;;;
kali;NUMC_6;2;4.35;1276;;;;;
kali;NUMC_7;2;2.38;0;Timeout;;;;
kali;NUMC_8;2;2.16;32;;;;;
kali;NUMC_9;2;96.17;5498;;;;;
kali;UNIFORM_ALL_0;2;7.69;413;;;;;
kali;UNIFORM_ALL_1;2;59.95;1705;;;;;
kali;UNIFORM_ALL_10;2;2.04;15;;;;;
kali;UNIFORM_ALL_11;2;5.52;453;;;;;
kali;UNIFORM_ALL_12;2;2.13;14;;;;;
kali;UNIFORM_ALL_13;2;2.41;79;;;;;
kali;UNIFORM_ALL_14;2;3.97;430;;;;;
kali;UNIFORM_ALL_15;2;1.96;16;;;;;
kali;UNIFORM_ALL_16;2;2.17;15;;;;;
kali;UNIFORM_ALL_17;2;2.21;47;;;;;
kali;UNIFORM_ALL_18;2;7.22;399;;;;;
kali;UNIFORM_ALL_19;2;3.82;149;;;;;
kali;UNIFORM_ALL_2;2;13.86;794;;;;;
kali;UNIFORM_ALL_20;2;44.21;1624;;;;;
kali;UNIFORM_ALL_21;2;3.23;313;;;;;
kali;UNIFORM_ALL_22;2;51.82;1554;;;;;
kali;UNIFORM_ALL_23;2;20.67;1154;;;;;
kali;UNIFORM_ALL_24;2;15.2;888;;;;;
kali;UNIFORM_ALL_25;2;2.14;23;;;;;
kali;UNIFORM_ALL_26;2;3.69;247;;;;;
kali;UNIFORM_ALL_27;2;13.3;1130;;;;;
kali;UNIFORM_ALL_28;2;6.48;327;;;;;
kali;UNIFORM_ALL_29;2;14.54;634;;;;;
kali;UNIFORM_ALL_3;2;5.82;416;;;;;
kali;UNIFORM_ALL_30;2;5.12;406;;;;;
kali;UNIFORM_ALL_31;2;2.09;13;;;;;
kali;UNIFORM_ALL_32;2;3.44;316;;;;;
kali;UNIFORM_ALL_33;2;11.26;739;;;;;
kali;UNIFORM_ALL_34;2;2.36;51;;;;;
kali;UNIFORM_ALL_35;2;63.94;1551;;;;;
kali;UNIFORM_ALL_36;2;5.79;539;;;;;
kali;UNIFORM_ALL_37;2;2.43;225;;;;;
kali;UNIFORM_ALL_38;2;4.14;602;;;;;
kali;UNIFORM_ALL_39;2;22.06;891;;;;;
kali;UNIFORM_ALL_4;2;7.41;665;;;;;
kali;UNIFORM_ALL_40;2;28.68;1168;;;;;
kali;UNIFORM_ALL_41;2;2.43;29;;;;;
kali;UNIFORM_ALL_42;2;2.54;256;;;;;
kali;UNIFORM_ALL_43;2;24.22;837;;;;;
kali;UNIFORM_ALL_44;2;3.34;130;;;;;
